base 2022.06-1
base-devel 2024.11-1
bash 5.3.009-1
bash-completion 2.17.0-2
binutils 2.46-1
bison 3.8.2-5
brotli 1.2.0-1
bsdtar 3.8.7-1
bzip2 1.0.8-4
ca-certificates 20250419-1
coreutils 8.32-5
curl 8.19.0-1
dash 0.5.13.2-1
db 6.2.32-5
diffstat 1.69-1
diffutils 3.12-1
dos2unix 7.5.5-1
doxygen 1.14.0-1
file 5.47-1
filesystem 2026.03.06-1
findutils 4.10.0-2
flex 2.6.4-4
gawk 5.4.0-1
gcc-libs 15.2.0-1
gdbm 1.26-1
getent 2.18.90-6
gettext 0.22.5-1
git 2.53.0-1
gmp 6.3.0-2
gnupg 2.4.9-1
grep 1~3.0-7
gzip 1.14-1
heimdal 7.8.0-5
heimdal-libs 7.8.0-5
inetutils 2.7-1
info 7.2-3
jq 1.8.1-1
lcov 1~1.16-1
less 692-1
libargp 20260115-1
libasprintf 0.22.5-1
libassuan 3.0.2-1
libbz2 1.0.8-4
libcbor 0.14.0-1
libcurl 8.19.0-1
libdb 6.2.32-5
libedit 20240808_3.1-1
libexpat 2.7.5-1
libffi 3.5.2-1
libfido2 1.17.0-1
libgcrypt 1.12.2-1
libgdbm 1.26-1
libgettextpo 0.22.5-1
libgnutls 3.8.12-1
libgpg-error 1.59-1
libhogweed 3.10.2-1
libiconv 1.19-1
libidn2 2.3.8-1
libintl 0.22.5-1
libksba 1.6.8-1
liblz4 1.10.0-1
liblzma 5.8.3-1
libnettle 3.10.2-1
libnghttp2 1.69.0-1
libnghttp3 1.15.0-1
libngtcp2 1.22.1-1
libnpth 1.8-1
libopenssl 3.6.2-1
libp11-kit 0.26.2-1
libpcre 8.45-5
libpcre2_8 10.47-1
libpsl 0.21.5-2
libreadline 8.3.003-1
libsqlite 3.53.0-1
libssh2 1.11.1-1
libtasn1 4.21.0-1
libunistring 1.4.1-1
libutil-linux 2.40.2-2
libxcrypt 4.5.2-1
libzstd 1.5.7-1
m4 1.4.19-2
make 4.4.1-2
mingw-w64-clang-x86_64-brotli 1.2.0-1
mingw-w64-clang-x86_64-bzip2 1.0.8-3
mingw-w64-clang-x86_64-c-ares 1.34.6-1
mingw-w64-clang-x86_64-ca-certificates 20250419-1
mingw-w64-clang-x86_64-clang 22.1.3-1
mingw-w64-clang-x86_64-clang-libs 22.1.3-1
mingw-w64-clang-x86_64-clang-tools-extra 22.1.3-1
mingw-w64-clang-x86_64-cmake 4.3.1-2
mingw-w64-clang-x86_64-compiler-rt 22.1.3-1
mingw-w64-clang-x86_64-cppdap 1.65-1
mingw-w64-clang-x86_64-crt 14.0.0.r14.g4761eabdd-1
mingw-w64-clang-x86_64-curl 8.19.0-1
mingw-w64-clang-x86_64-expat 2.7.5-2
mingw-w64-clang-x86_64-gettext-runtime 1.0-1
mingw-w64-clang-x86_64-gmp 6.3.0-2
mingw-w64-clang-x86_64-gnutls 3.8.12-1
mingw-w64-clang-x86_64-headers 14.0.0.r14.g4761eabdd-1
mingw-w64-clang-x86_64-jsoncpp 1.9.6-3
mingw-w64-clang-x86_64-libarchive 3.8.7-1
mingw-w64-clang-x86_64-libb2 0.98.1-3
mingw-w64-clang-x86_64-libc++ 22.1.3-1
mingw-w64-clang-x86_64-libffi 3.5.2-1
mingw-w64-clang-x86_64-libiconv 1.19-1
mingw-w64-clang-x86_64-libidn2 2.3.8-4
mingw-w64-clang-x86_64-libluv 1.51.0_1-1
mingw-w64-clang-x86_64-libpsl 0.21.5-3
mingw-w64-clang-x86_64-libssh2 1.11.1-2
mingw-w64-clang-x86_64-libtasn1 4.21.0-1
mingw-w64-clang-x86_64-libtermkey 0.22-2
mingw-w64-clang-x86_64-libtree-sitter 1~0.26.8-1
mingw-w64-clang-x86_64-libunistring 1.4.2-1
mingw-w64-clang-x86_64-libunwind 22.1.3-1
mingw-w64-clang-x86_64-libutf8proc 2.11.3-1
mingw-w64-clang-x86_64-libuv 1.52.0-1
mingw-w64-clang-x86_64-libvterm 0.3.3-1
mingw-w64-clang-x86_64-libwasmtime 43.0.1-1
mingw-w64-clang-x86_64-libwinpthread 14.0.0.r14.g4761eabdd-1
mingw-w64-clang-x86_64-libxml2 2.15.3-1
mingw-w64-clang-x86_64-lld 22.1.3-1
mingw-w64-clang-x86_64-llvm-libs 22.1.3-1
mingw-w64-clang-x86_64-llvm-tools 22.1.3-1
mingw-w64-clang-x86_64-luajit 2.1.1774896198-1
mingw-w64-clang-x86_64-lz4 1.10.0-1
mingw-w64-clang-x86_64-make 4.4.1-4
mingw-w64-clang-x86_64-msgpack-c 6.1.0-1
mingw-w64-clang-x86_64-neovim 0.11.7-1
mingw-w64-clang-x86_64-nettle 3.10.2-1
mingw-w64-clang-x86_64-nghttp2 1.69.0-1
mingw-w64-clang-x86_64-nghttp3 1.15.0-1
mingw-w64-clang-x86_64-ngtcp2 1.22.1-1
mingw-w64-clang-x86_64-ninja 1.13.2-1
