base 2022.06-1
base-devel 2024.11-1
doxygen 1.14.0-1
filesystem 2026.03.06-1
git 2.54.0-1
jq 1.8.2-1
lcov 1~1.16-1
mingw-w64-clang-x86_64-clang 22.1.7-1
mingw-w64-clang-x86_64-clang-tools-extra 22.1.7-1
mingw-w64-clang-x86_64-cmake 4.3.4-1
mingw-w64-clang-x86_64-make 4.4.1-5
mingw-w64-clang-x86_64-neovim 0.12.2-1
mingw-w64-ucrt-x86_64-clang 22.1.7-1
mingw-w64-ucrt-x86_64-cmake 4.3.4-1
mingw-w64-ucrt-x86_64-gcc 16.1.0-5
mingw-w64-ucrt-x86_64-gdb 17.2-1
mingw-w64-ucrt-x86_64-git 2.54.0.1-1
mingw-w64-ucrt-x86_64-git-for-windows-addons 2.54.0.1-1
mingw-w64-ucrt-x86_64-gitweb 2.54.0.1-1
mingw-w64-ucrt-x86_64-lld 22.1.7-1
mingw-w64-ucrt-x86_64-llvm 22.1.7-1
mingw-w64-ucrt-x86_64-make 4.4.1-5
mingw-w64-ucrt-x86_64-neovim 0.12.2-1
mingw-w64-ucrt-x86_64-nodejs 24.16.0-1
mingw-w64-ucrt-x86_64-nodejs-webpack-cli 6.0.1-1
mingw-w64-ucrt-x86_64-python 3.14.6-1
mingw-w64-ucrt-x86_64-python-matplotlib 3.11.0-1
mingw-w64-ucrt-x86_64-python-pandas 3.0.3-1
mingw-w64-ucrt-x86_64-python-pillow 12.2.0-1
mingw-w64-ucrt-x86_64-python-pip 26.1.2-1
mingw-w64-ucrt-x86_64-python-scipy 1.17.1-3
mingw-w64-ucrt-x86_64-r 4.6.0-2
mingw-w64-x86_64-cmake 4.3.4-1
mingw-w64-x86_64-gcc 16.1.0-5
mingw-w64-x86_64-gdb 17.2-1
mingw-w64-x86_64-make 4.4.1-5
mingw-w64-x86_64-python 3.14.6-1
mingw-w64-x86_64-python-pip 26.1.2-1
mingw-w64-x86_64-tools 14.0.0.r147.g31bd54ab7-1
msys2-runtime 3.6.9-2
